uid,title,synopsis,genre,aired,episodes,members,popularity,ranked,score,img_url,link
4789,ef: A Tale of Melodies.,"In a story set years in the past, Himura Yuu is a studious and diligent young man intent solely on maintaining his top academic position at Otowa Academy. One day, he meets a mysterious girl named Amamiya Yuuko, who, to his surprise, recognizes him. Memories of a distant childhood, memories rather left forgotten... meeting Yuuko again will force Yuu to confront the regrets and sorrows of their collective pasts and presents. 
 
In the present, Kuze Shuuichi may seem like a womanizer, but upon closer inspection, is a man who would rather be left alone. Hayama Mizuki, however, is not the type of girl who would let him be, especially after hearing the beautiful sounds of his violin performance. As Mizuki attempts to become closer to him, Kuze attempts to push her away—the tale of their budding relationship is darkened with undertones of an imminent tragedy. 
 
[Written by MAL Rewrite]","['Mystery', 'Supernatural', 'Drama', 'Romance']","Oct 7, 2008 to Dec 23, 2008",12,135194,828,466,8.08,https://cdn.myanimelist.net/images/anime/13/50519.jpg,https://myanimelist.net/anime/4789/ef__A_Tale_of_Melodies
25879,Working!!!,"As the stories of those connected to Wagnaria come to a close, only one thing is certain: the workplace is about to get crazier than ever before! Whether it be incredibly awkward romances, relentless searches for lost relatives, or even uncomfortable family reunions, lover of all things cute and tiny Souta Takanashi and his motley crew have plenty on their plates. With more Napoleon complexes, androphobia, and katana-wielding than you can shake a frying pan at,  Working!!!  delivers a final serving of the staff's hilarious misadventures working at everybody's favorite family restaurant. 
 
[Written by MAL Rewrite]","['Comedy', 'Romance', 'Seinen', 'Slice of Life']","Jul 5, 2015 to Sep 27, 2015",13,158921,699,464,8.09,https://cdn.myanimelist.net/images/anime/7/73886.jpg,https://myanimelist.net/anime/25879/Working
1943,Paprika,"The world of dreams can be an incredible window into the psyche, showing one's deepest desires, aspirations, and repressed memories. One hopeful tech lab has been developing the ""DC Mini,"" a device with the power to delve into the dreams of others. Atsuko Chiba and Kosaku Tokita have been tirelessly working to develop this technology with the hopes of using it to deeply explore patients' minds and help cure them of their psychological disorders. 
 
However, having access to the deepest corners of a person's mind comes with a tremendous responsibility. In the wrong hands, the DC Mini could be used as a form of psychological terrorism and cause mental breakdowns in the minds of targets. When this technology is stolen and people around them start acting strangely, Atsuko and Kosaku know they have a serious problem on their hands. Enlisting the help of Officer Konakawa, who has been receiving this experimental therapy, they search both the real and dream worlds for their mental terrorist. 
 
[Written by MAL Rewrite]","['Dementia', 'Fantasy', 'Horror', 'Mystery', 'Psychological', 'Sci-Fi', 'Thriller']",25-Nov-06,1,289048,333,463,8.09,https://cdn.myanimelist.net/images/anime/1929/93629.jpg,https://myanimelist.net/anime/1943/Paprika
37675,Overlord III,"Following the horrific assault on the Re-Estize capital city, the Guardians of the Great Tomb of Nazarick return home to their master Ainz Ooal Gown. After months of laying the groundwork, they are finally ready to set their plans of world domination into action. 
 
As Ainz's war machine gathers strength, the rest of the world keeps moving. The remote Carne Village, which Ainz once saved from certain doom, continues to prosper despite the many threats on its doorstep. And in the northeastern Baharuth Empire, a certain Bloody Emperor sets his sights on the rising power of Nazarick. 
 
Blood is shed, heroes fall, and nations rise. Can anyone, or anything, challenge the supreme power of Ainz Ooal Gown? 
 
[Written by MAL Rewrite]","['Action', 'Magic', 'Fantasy', 'Game', 'Supernatural']","Jul 10, 2018 to Oct 2, 2018",13,348792,273,462,8.09,https://cdn.myanimelist.net/images/anime/1511/93473.jpg,https://myanimelist.net/anime/37675/Overlord_III
7720,Ookiku Furikabutte: Natsu no Taikai-hen,"Picking up where the original series left off, Ren Mihashi, the ace pitcher of the newly-formed Nishiura High School baseball team, and his teammates face the Sakitama High School team in the next round of the High School Baseball Invitational Tournament as they aim to play in the finals at legendary Hanshin Koushien Stadium. 
 
(Source: ANN)","['Comedy', 'Seinen', 'Sports']","Apr 2, 2010 to Jun 25, 2010",13,31921,2469,461,8.09,https://cdn.myanimelist.net/images/anime/10/18671.jpg,https://myanimelist.net/anime/7720/Ookiku_Furikabutte__Natsu_no_Taikai-hen
1453,Maison Ikkoku,"In the town of Clock Hill, there is an old boarding house called Maison Ikkoku. While the residence itself is fairly normal, most of its occupants are not. Yuusaku Godai, its most quiet tenant, has finally reached his limit with his neighbors' constant disruptions and boisterous partying. Wanting a calmer place to call home so that he can study in peace, he prepares to move away. 
 
However, his plans to leave are suddenly interrupted when he meets the new boarding house manager, Kyoko Otonashi. Falling madly in love with her, he decides that the boarding house may not be such a bad place to live after all. Unfortunately for him, Kyoko has her own romantic troubles: she is a widow whose husband died six months into their marriage. And despite her blossoming feelings for Godai, Kyoko still cherishes her dearly departed husband, and she believes that no other man could possibly fill the void in her heart. But with Godai's persistence and some help of the other eccentric tenants, she may experience true love once again. 
 
[Written by MAL Rewrite]","['Slice of Life', 'Comedy', 'Drama', 'Romance', 'Seinen']","Mar 26, 1986 to Mar 2, 1988",96,40874,2157,460,8.09,https://cdn.myanimelist.net/images/anime/6/17576.jpg,https://myanimelist.net/anime/1453/Maison_Ikkoku
28725,Kokoro ga Sakebitagatterunda.,"Jun Naruse is a chatterbox whose life is colored by fairy tales and happy endings. However, influenced by her deep belief in those tales, she is too naive and trusting, and her words soon shatter her family's bond when she inadvertently reveals her father's affair. Naruse is scarred for life after being blamed for her parent's divorce, and her regrets soon manifest into a fairy egg—a being who seals her mouth from speaking in order to protect everyone's happy ending. 
 
Now, even in high school, Naruse's speech remains locked by the fairy egg. Even trying to speak causes her stomach to twist. Though unable to convey her thoughts through words, she is unexpectedly chosen to perform in a musical alongside three other students: Takumi Sakagami, Natsuki Nitou, and Daiki Tasaki. Naruse makes her way to the club room to reject the daunting task, but changes her mind when she overhears Sakagami's beautiful singing. 
 
Perhaps the fairy egg ""curse"" does not apply to singing, and perhaps Sakagami is the fairy tale prince she has been seeking all along. Will Naruse be able to convey the anthem of her heart? 
 
[Written by MAL Rewrite]","['Drama', 'Romance', 'School']",19-Sep-15,1,176401,619,459,8.09,https://cdn.myanimelist.net/images/anime/8/75745.jpg,https://myanimelist.net/anime/28725/Kokoro_ga_Sakebitagatterunda
6045,Kimi ni Todoke,"Kuronuma Sawako is completely misunderstood by her classmates. Her timid and sweet demeanor is often mistaken for malicious behavior. This is due to her resemblance to the ghost girl from ""The Ring,"" which has led her peers to give her the nickname Sadako. Longing to make friends and live a normal life, she is naturally drawn to Kazehaya Shouta, the most popular guy in class, whose ""100% refreshing"" personality earns him great admiration from Sawako. So when Kazehaya starts talking to her, maybe there is hope for the friendships Sawako has always longed for. Maybe... there is even a little hope for some romance in her future. 
 
[Written by MAL Rewrite]","['Slice of Life', 'Drama', 'Romance', 'School', 'Shoujo']","Oct 7, 2009 to Mar 31, 2010",25,511507,127,458,8.09,https://cdn.myanimelist.net/images/anime/7/17890.jpg,https://myanimelist.net/anime/6045/Kimi_ni_Todoke
2004,Hanada Shounen-shi,"Young Ichiro Hanada lives with his parents and grandfather in a quiet rural town. He is a little brat who constantly teases his sister, insults his mother, fights with everybody, and eats a lot. 
 
Ichiro has a near-death experience when he is hit by a truck, and when he wakes up he can see and talk to spirits. The spirits of people who have just died but who cannot pass on yet seek him out. They have some unresolved issue in their lives that is holding them back, and Ichiro must help them out.","['Slice of Life', 'Comedy', 'Supernatural', 'Drama', 'Seinen']","Oct 2, 2002 to Mar 26, 2003",25,10104,4324,457,8.09,https://cdn.myanimelist.net/images/anime/2/87319.jpg,https://myanimelist.net/anime/2004/Hanada_Shounen-shi
6421,Fullmetal Alchemist: Brotherhood Specials,"Amazing secrets and startling facts are exposed for the first time in the Fullmetal Alchemist: Brotherhood OVA Collection, a new assortment of stories set in never-before-seen corners of the FMA universe. Join Ed and Al as they chase rumors of successful human transmutation into a web of shocking family drama and lies. Sneak a glance at hidden sides of Winry and Hawkeye's personalities. Survive the frigid north with a young Izumi Curtis as she fights to gain a deeper understanding of alchemy. Explore the legendary friendship shared by Mustang and Hughes and watch them grow from military school rivals into hardened brothers transformed by the horrors of the Ishvalan War. You thought you knew the whole story. You thought all the tales were told. The Fullmetal Alchemist: Brotherhood OVA Collection offers proof: You were wrong.  
 
(Source: FUNimation)","['Military', 'Adventure', 'Drama', 'Magic', 'Fantasy', 'Shounen']","Aug 26, 2009 to Aug 25, 2010",4,106904,1036,456,8.09,https://cdn.myanimelist.net/images/anime/1493/91571.jpg,https://myanimelist.net/anime/6421/Fullmetal_Alchemist__Brotherhood_Specials
31173,Akagami no Shirayuki-hime 2nd Season,"Shirayuki and Zen Wistalia have finally confirmed their romantic feelings for each other, and everyone has resumed their daily lives. Shirayuki remains an apprentice court herbalist at the royal palace of Clarines, and Zen continues his duties alongside his aides. 
 
However, their daily routines are disrupted when Crown Prince Izana, Zen’s older brother, receives an invitation from Raji Shenazard, the prince of Tanbarun. The herbalist finds herself ordered to go to Tanbarun for seven days, to build a new friendship with the formerly selfish and haughty ruler who once ordered Shirayuki to become his concubine. Along the way, Shirayuki is bound to run into trouble once again, as she is sought by a mysterious boy named Kazuki, someone she has never met. 
 
[Written by MAL Rewrite]","['Drama', 'Romance', 'Fantasy', 'Shoujo']","Jan 12, 2016 to Mar 29, 2016",12,182761,596,455,8.09,https://cdn.myanimelist.net/images/anime/12/77834.jpg,https://myanimelist.net/anime/31173/Akagami_no_Shirayuki-hime_2nd_Season
14813,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,"Hachiman Hikigaya is an apathetic high school student with narcissistic and semi-nihilistic tendencies. He firmly believes that joyful youth is nothing but a farce, and everyone who says otherwise is just lying to themselves.  
 
In a novel punishment for writing an essay mocking modern social relationships, Hachiman's teacher forces him to join the Volunteer Service Club, a club that aims to extend a helping hand to any student who seeks their support in achieving their goals. With the only other club member being the beautiful ice queen Yukino Yukinoshita, Hachiman finds himself on the front line of other people's problems—a place he never dreamed he would be. As Hachiman and Yukino use their wits to solve many students' problems, will Hachiman's rotten view of society prove to be a hindrance or a tool he can use to his advantage? 
 
[Written by MAL Rewrite]","['Slice of Life', 'Comedy', 'Drama', 'Romance', 'School']","Apr 5, 2013 to Jun 28, 2013",13,683483,74,453,8.1,https://cdn.myanimelist.net/images/anime/11/49459.jpg,https://myanimelist.net/anime/14813/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru
32615,Youjo Senki,"Tanya Degurechaff is a young soldier infamous for predatorial-like ruthlessness and an uncanny, tactical aptitude, earning her the nickname of the ""Devil of the Rhine."" Underneath her innocuous appearance, however, lies the soul of a man who challenged Being X, the self-proclaimed God, to a battle of wits—which resulted in him being reincarnated as a little girl into a world of magical warfare. Hellbent on defiance, Tanya resolves to ascend the ranks of her country's military as it slowly plunges into world war, with only Being X proving to be the strongest obstacle in recreating the peaceful life she once knew. But her perceptive actions and combat initiative have an unintended side effect: propelling the mighty Empire into becoming one of the most powerful nations in mankind's history. 
 
[Written by MAL Rewrite]","['Action', 'Military', 'Magic']","Jan 6, 2017 to Mar 31, 2017",12,419060,192,454,8.1,https://cdn.myanimelist.net/images/anime/5/82890.jpg,https://myanimelist.net/anime/32615/Youjo_Senki
16049,Toaru Kagaku no Railgun S,"Mikoto Misaka and her friends are back, investigating rumors across Academy City. Soon, Mikoto discovers something terrifying: horrific experiments are taking place throughout the city, involving the murder of thousands of espers. Moreover, these espers are far from just ordinary people: they are clones of Mikoto herself. Feeling responsible for their treatment, she sets off to put an end to the experiments; however, the forces opposing her are much more dangerous than she anticipated, and Mikoto finds herself up against some of the most powerful espers imaginable. 
 
 Toaru Kagaku no Railgun S  continues the story of the Railgun as she desperately fights to put an end to the inhuman experiments that she believes she helped cause, her life dragged deep into despair in the process. There's never a dull moment in Academy City, but no one ever said all of them would be pleasant. 
 
[Written by MAL Rewrite]","['Action', 'Sci-Fi', 'Super Power']","Apr 12, 2013 to Sep 27, 2013",24,224991,473,452,8.1,https://cdn.myanimelist.net/images/anime/7/75610.jpg,https://myanimelist.net/anime/16049/Toaru_Kagaku_no_Railgun_S
35790,Tate no Yuusha no Nariagari,"The Four Cardinal Heroes are a group of ordinary men from modern-day Japan summoned to the kingdom of Melromarc to become its saviors. Melromarc is a country plagued by the Waves of Catastrophe that have repeatedly ravaged the land and brought disaster to its citizens for centuries. The four heroes are respectively bestowed a sword, spear, bow, and shield to vanquish these Waves. Naofumi Iwatani, an otaku, becomes cursed with the fate of being the ""Shield Hero."" Armed with only a measly shield, Naofumi is belittled and ridiculed by his fellow heroes and the kingdom's people due to his weak offensive capabilities and lackluster personality. 
 
When the heroes are provided with resources and comrades to train with, Naofumi sets out with the only person willing to train alongside him, Malty Melromarc. He is soon betrayed by her, however, and becomes falsely accused of taking advantage of her. Naofumi then becomes heavily discriminated against and hated by the people of Melromarc for something he didn't do. With a raging storm of hurt and mistrust in his heart, Naofumi begins his journey of strengthening himself and his reputation. Further along however, the difficulty of being on his own sets in, so Naofumi buys a demi-human slave on the verge of death named Raphtalia to accompany him on his travels. 
 
As the Waves approach the kingdom, Naofumi and Raphtalia must fight for the survival of the kingdom and protect the people of Melromarc from their ill-fated future. 
 
[Written by MAL Rewrite]","['Action', 'Adventure', 'Drama', 'Fantasy']","Jan 9, 2019 to Jun 26, 2019",25,517005,128,451,8.1,https://cdn.myanimelist.net/images/anime/1490/101365.jpg,https://myanimelist.net/anime/35790/Tate_no_Yuusha_no_Nariagari
2150,Tanoshii Muumin Ikka,"Spring has finally arrived in Moomin Valley, giving way to another great adventure for Moomintroll and the rest of its inhabitants. With Snufkin coming home from his winter migration, the locals of the valley finally begin to rise from their hibernation. Finding a mysterious hat, the Moomins cannot bring themselves to throw it away due to its fine quality, instead hoping to eventually find its owner.  
 
While playing games with his friends, Moomin tries to hide in the silk hat. When his friends come looking for him, they are shocked to discover that Moomin has transformed into a hideous creature. Examining himself in the mirror, he is disgusted to find himself completely unrecognizable. 
 
Transforming back to normal after scaring his friends and family, Moomin and Snufkin decide to toss the hat in the river. As it drifts away, they begin to wonder who the hat belonged to and whether its owner will return for their lost possession. 
 
[Written by MAL Rewrite]","['Adventure', 'Comedy', 'Fantasy', 'Kids', 'Slice of Life']","Apr 12, 1990 to Oct 3, 1991",78,14065,3768,450,8.1,https://cdn.myanimelist.net/images/anime/13/26765.jpg,https://myanimelist.net/anime/2150/Tanoshii_Muumin_Ikka
535,Slayers Next,"In the kingdom of Xoana, Lina Inverse and Gourry Gabriev unexpectedly come across their old companions, Zelgadis Graywords and Princess Ameilia Wil Tesla Saillune. Upon their reunion, the friends end up easily foiling the King of Xoana and his daughter's dastardly plans of world conquest. 
 
Soon after, it is revealed that Zelgadis is in search of the world's most valuable magical tome, the Claire Bible, hoping to discover a method to recover his human body among the many secrets sheltered within it. Despite his protests, the rest of the group decides to join in the quest after hearing of his mission. However, just when they were wondering where to start looking for the legendary book, they stumble upon a mysterious priest by the name of Xellos, who claims that he may be of some help in their pursuit. 
 
[Written by MAL Rewrite]","['Adventure', 'Comedy', 'Demons', 'Magic', 'Fantasy']","Apr 5, 1996 to Sep 27, 1996",26,53436,1807,449,8.1,https://cdn.myanimelist.net/images/anime/1165/92536.jpg,https://myanimelist.net/anime/535/Slayers_Next
6171,Saint Seiya: The Lost Canvas - Meiou Shinwa,"A Holy War, from ancient mythology, where the Goddess Athena and Hades have fought against each other while defending the earth repeatedly over the span of 200 years. The story takes place in 18th century Europe, 243 years prior to the original ""Saint Seiya"" Three small children, Tenma, Alone, and Sasha have all shared a very happy childhood together. Tenma who is quite aggressive but upstanding has moved to Sanctuary to become a saint. It is there that he is reunited with Sasha who is the sister of Alone and learns that she is the reincarnation of Goddess Athena. Alone, who is kind, gentle and loves painting was chosen for the body of enemy King Hades. Tenma eventually becomes a saint of Pegasus and engages in a fierce battle with his best friend Alone, the King of Hades. Pegasus Tenma, King Hades, and the Goddess Athena and through the twist of their 3 fates merge together which unfolds a prologue to the original Saint Seiya. 
 
(Source: TMS Entertaiment)","['Action', 'Adventure', 'Martial Arts', 'Shounen', 'Super Power', 'Supernatural']","Jun 24, 2009 to Apr 21, 2010",13,70132,1495,448,8.1,https://cdn.myanimelist.net/images/anime/8/75546.jpg,https://myanimelist.net/anime/6171/Saint_Seiya__The_Lost_Canvas_-_Meiou_Shinwa
30015,ReLIFE,"Dismissed as a hopeless loser by those around him, 27-year-old Arata Kaizaki bounces around from one job to another after quitting his first company. His unremarkable existence takes a sharp turn when he meets Ryou Yoake, a member of the ReLife Research Institute, who offers Arata the opportunity to change his life for the better with the help of a mysterious pill. Taking it without a second thought, Arata awakens the next day to find that his appearance has reverted to that of a 17-year-old. 
 
Arata soon learns that he is now the subject of a unique experiment and must attend high school as a transfer student for one year. Though he initially believes it will be a cinch due to his superior life experience, Arata is proven horribly wrong on his first day: he flunks all his tests, is completely out of shape, and can't keep up with the new school policies that have cropped up in the last 10 years. Furthermore, Ryou has been assigned to observe him, bringing Arata endless annoyance.  ReLIFE  follows Arata's struggle to adjust to his hectic new lifestyle and avoid repeating his past mistakes, all while slowly discovering more about his fellow classmates. 
 
[Written by MAL Rewrite]","['Slice of Life', 'Romance', 'School']","Jul 2, 2016 to Sep 24, 2016",13,533921,116,447,8.1,https://cdn.myanimelist.net/images/anime/3/82149.jpg,https://myanimelist.net/anime/30015/ReLIFE
31174,Osomatsu-san,"The majority of the Matsuno household is comprised of six identical siblings: self-centered leader Osomatsu, manly Karamatsu, voice of reason Choromatsu, cynical Ichimatsu, hyperactive Juushimatsu, and lovable Todomatsu. Despite each one of them being over the age of 20, they are incredibly lazy and have absolutely no motivation to get a job, choosing to live as NEETs instead. In the rare occurrence that they try to look for employment and are somehow able to land an interview, their unique personalities generally lead to their swift rejection. 
 
From trying to pick up girlfriends to finding the perfect job, the daily activities of the Matsuno brothers are never dull as they go on all sorts of crazy, and often downright bizarre, adventures. Though they desperately search for a way to improve their social standing, it won't be possible if they can't survive the various challenges that come with being sextuplets! 
 
[Written by MAL Rewrite]","['Comedy', 'Parody']","Oct 6, 2015 to Mar 29, 2016",25,117769,957,446,8.1,https://cdn.myanimelist.net/images/anime/7/76540.jpg,https://myanimelist.net/anime/31174/Osomatsu-san
20507,Noragami,"In times of need, if you look in the right place, you just may see a strange telephone number scrawled in red. If you call this number, you will hear a young man introduce himself as the Yato God. 
 
Yato is a minor deity and a self-proclaimed ""Delivery God,"" who dreams of having millions of worshippers. Without a single shrine dedicated to his name, however, his goals are far from being realized. He spends his days doing odd jobs for five yen apiece, until his weapon partner becomes fed up with her useless master and deserts him. 
 
Just as things seem to be looking grim for the god, his fortune changes when a middle school girl, Hiyori Iki, supposedly saves Yato from a car accident, taking the hit for him. Remarkably, she survives, but the event has caused her soul to become loose and hence able to leave her body. Hiyori demands that Yato return her to normal, but upon learning that he needs a new partner to do so, reluctantly agrees to help him find one. And with Hiyori's help, Yato's luck may finally be turning around. 
 
[Written by MAL Rewrite]","['Action', 'Adventure', 'Comedy', 'Supernatural', 'Shounen']","Jan 5, 2014 to Mar 23, 2014",12,1125472,16,445,8.1,https://cdn.myanimelist.net/images/anime/9/77809.jpg,https://myanimelist.net/anime/20507/Noragami
851,Kyou kara Ore wa!!,"Two transfer students, Mitsuhashi Takashi and Itou Shinji, tired of their boring normal life and unpopularity decide to take their arrival at a new school as an opportunity to reinvent their image, and become delinquents! Itou's justice clashing with Mitsuhashi's mischievous ways, they initially antagonize one another but soon become fast friends. The delinquent duo set out on various misadventures to become the greatest delinquents in all Japan!","['Comedy', 'Shounen']","Dec 11, 1992 to Dec 21, 1997",10,17458,3419,444,8.1,https://cdn.myanimelist.net/images/anime/2/43779.jpg,https://myanimelist.net/anime/851/Kyou_kara_Ore_wa
12031,Kingdom,"China’s Warring States period, a raging dragon that would raze the land for 500 years, saw many kingdoms rise and fall, making way for the next generation of kings and generals to fight for supremacy. Eventually, seven powerful states emerged from the endless cycle of warfare. 
 
In the kingdom of Qin, Li Xin, a war-orphaned slave, trains vigorously with fellow slave and best friend, Piao, who shares his proud dream of one day becoming a Great General of the Heavens. However, the two are suddenly forced to part ways when Piao is recruited to work in the royal palace by a retainer of the King. 
 
After a fierce coup d'état unfolds, Piao returns to Xin, half dead, with a mission that will lead him to a meeting with China's young King, Ying Zheng, who bears a striking resemblance to Piao.  Kingdom  follows Xin as he takes his first steps into the great blood-soaked pages of China's history. He must carve his own path to glory on his long quest to become a Great General of the historic Seven Warring States. 
 
[Written by MAL Rewrite]","['Action', 'Historical', 'Military', 'Seinen']","Jun 4, 2012 to Feb 25, 2013",38,97155,1134,443,8.1,https://cdn.myanimelist.net/images/anime/13/39511.jpg,https://myanimelist.net/anime/12031/Kingdom
153,Juuni Kokuki,"Youko Nakajima has only ever wanted to be normal. She does what she is asked, gets good grades, is the class president, and even helps her classmates whenever she can—but because of her red hair, she has never fit in. With her pushover attitude, Youko lets classmates take advantage of her, so she has nobody she can really call a friend. 
 
But on an otherwise ordinary day, a man who claims to be from another world barges into Youko's classroom and bows before her. This elegant blond-haired man, Keiki, claims that Youko is his master and belongs on the throne of his kingdom. However, their first meeting is cut short as Keiki has been followed by otherworldly beasts called youma. He is able to escape with Youko into his own realm, but two other classmates—Ikuya Asano and Yuka Sugimoto—are caught up in the madness as well. Unfortunately, their troubles have only just begun, as the youma attack leaves them separated from Keiki. Alone in this strange new land, these ordinary students must learn to fend for themselves or die. 
 
[Written by MAL Rewrite]","['Action', 'Adventure', 'Fantasy', 'Magic', 'Supernatural']","Apr 9, 2002 to Aug 30, 2003",45,99034,1105,442,8.1,https://cdn.myanimelist.net/images/anime/6/50859.jpg,https://myanimelist.net/anime/153/Juuni_Kokuki
9963,Detective Conan Movie 15: Quarter of Silence,"The story begins with a threat against the Tokyo governor, but Conan's quick thinking prevents any fatalities when a subway tunnel is blown up. Conan learns there may be a connection to a village that was relocated for the construction of a dam, and he races to stop the criminal before the next attack. 
 
(Source: ANN)","['Adventure', 'Comedy', 'Mystery', 'Police', 'Shounen']",16-Apr-11,1,29059,2618,441,8.1,https://cdn.myanimelist.net/images/anime/9/32035.jpg,https://myanimelist.net/anime/9963/Detective_Conan_Movie_15__Quarter_of_Silence
889,Black Lagoon,"Within Thailand is Roanapur, a depraved, crime-ridden city where not even the authorities or churches are untouched by the claws of corruption. A haven for convicts and degenerates alike, the city is notorious for being the center of illegal activities and operations, often fueled by local crime syndicates. 
 
Enter Rokurou Okajima, an average Japanese businessman who has been living a dull and monotonous life, when he finally gets his chance for a change of pace with a delivery trip to Southeast Asia. His business trip swiftly goes downhill as Rokurou is captured by a mercenary group operating in Roanapur, called Black Lagoon. The group plans to use him as a bargaining chip in negotiations which ultimately failed. Now abandoned and betrayed by his former employer, Rokurou decides to join Black Lagoon. In order to survive, he must quickly adapt to his new environment and prepare himself for the bloodshed and tribulation to come. 
 
A non-stop, high-octane thriller,  Black Lagoon  delves into the depths of human morality and virtue. Witness Rokurou struggling to keep his values and philosophies intact as he slowly transforms from businessman to ruthless mercenary. 
 
[Written by MAL Rewrite]","['Action', 'Seinen']","Apr 9, 2006 to Jun 25, 2006",12,553392,111,440,8.1,https://cdn.myanimelist.net/images/anime/4/25596.jpg,https://myanimelist.net/anime/889/Black_Lagoon
21469,Stand By Me Doraemon,"Nobita Nobi is an elementary student who hates studying, is bad at sports, and does everything half-heartedly. He is a pushover, unlucky, and fearful of many things. His personality makes him a failure in life, even affecting his progeny. This causes his great-great-grandchild, Sewashi, to take control of the situation. 
 
Sewashi travels back in time from the 22nd century to the 20th century to meet Nobita, who is shocked to see him appear out of his drawer alongside a blue robotic cat. The robotic cat calls himself Doraemon, who claims to have been pressured by Sewashi to assist Nobita, with their ultimate goal being to provide Nobita happiness. Frustrated after seeing Nobita's hopeless state, Doraemon decides to go back to the future. However, Sewashi activates a program within Doraemon that prevents him from doing so.  
 
Forced to stay, Doraemon helps Nobita using futuristic gadgets through his four-dimensional pocket—a bag containing anything inside it. Can Doraemon bring Nobita happiness and return to the future? 
 
[Written by MAL Rewrite]","['Comedy', 'Kids', 'Sci-Fi', 'Shounen']",08-Aug-14,1,16228,3565,439,8.11,https://cdn.myanimelist.net/images/anime/9/65571.jpg,https://myanimelist.net/anime/21469/Stand_By_Me_Doraemon
12477,Sakasama no Patema,"Patema is a plucky young girl from an underground civilization boasting an incredible network of tunnels. Inspired by a friend that mysteriously went missing, she is often reprimanded due to her constant excursions of these tunnels due to her royal status. After she enters what is known as the ""forbidden zone,"" she accidentally falls into a giant bottomless pit after being startled by a strange creature. 
 
Finding herself on the surface, a world literally turned upside down, she begins falling towards the sky only to be saved by Age, a discontented student of the totalitarian nation known as Aiga. The people of Aiga are taught to believe that ""Inverts,"" like Patema, are sinners that will be ""swallowed by the sky,"" but Age has resisted this propaganda and decides to protect his new friend. A chance meeting between two curious teenagers leads to an exploration of two unique worlds as they begin working together to unveil the secrets of their origins in  Sakasama no Patema , a heart-warming film about overcoming differences in order to coexist. 
 
[Written by MAL Rewrite]","['Adventure', 'Sci-Fi']",09-Nov-13,1,178032,609,438,8.11,https://cdn.myanimelist.net/images/anime/12/52415.jpg,https://myanimelist.net/anime/12477/Sakasama_no_Patema
14713,Kamisama Hajimemashita,"High schooler Nanami Momozono has quite a few problems of late, beginning with her absentee father being in such extreme debt that they lose everything. Downtrodden and homeless, she runs into a man being harassed by a dog. After helping him, she explains her situation, and to her surprise, he offers her his home in gratitude. But when she discovers that said home is a rundown shrine, she tries to leave; however, she is caught by two shrine spirits and a fox familiar named Tomoe. They mistake her for the man Nanami rescued—the land god of the shrine, Mikage. Realizing that Mikage must have sent her there as a replacement god, Tomoe leaves abruptly, refusing to serve a human. 
 
Rather than going back to being homeless, Nanami immerses herself in her divine duties. But if she must keep things running smoothly, she will need the help of a certain hot-headed fox. In her fumbling attempt to seek out Tomoe, she lands in trouble and ends up sealing a contract with him. Now the two must traverse the path of godhood together as god and familiar; but it will not be easy, for new threats arise in the form of a youkai who wants to devour the girl, a snake that wants to marry her, and Nanami's own unexpected feelings for her new familiar. 
 
[Written by MAL Rewrite]","['Comedy', 'Demons', 'Supernatural', 'Romance', 'Fantasy', 'Shoujo']","Oct 2, 2012 to Dec 25, 2012",13,331324,292,437,8.11,https://cdn.myanimelist.net/images/anime/3/85429.jpg,https://myanimelist.net/anime/14713/Kamisama_Hajimemashita
16,Hachimitsu to Clover,"Yuuta, Takumi, and Shinobu share a six-tatami room apartment with no bath. The rent is low and it's perfect for poor college students such as themselves. Shinobu is a mysterious, quirky person, who does things on a whim. Takumi is passionate both in work and love, and Yuuta is a simple person with simple dreams and desires. That is, until he meets Hagumi, a petite girl with enormous amount of talent. Hagumi is fondly called Hagu by Shuuji, who serves as Hagu's guardian. Hagu meets Ayumi, nicknamed Ayu, and they become close friends almost instantly. Meanwhile, Ayu falls for one of the boys... 
 
The joys of falling in love, the pain of letting go, discovering one's self, and finding the courage to move on—these are some of the things that the characters in  Hachimitsu to Clover  experience as they take part in the play staged by fate.","['Comedy', 'Drama', 'Josei', 'Romance', 'Slice of Life']","Apr 15, 2005 to Sep 27, 2005",24,186696,578,436,8.11,https://cdn.myanimelist.net/images/anime/11/73923.jpg,https://myanimelist.net/anime/16/Hachimitsu_to_Clover
589,Ginga Nagareboshi Gin,"Gin is a silver Tora-ge named after his coat color. Shortly after being born, he watches his father, Riki, get killed by Akakabuto, a bear that terrorizes everything in his path. Being the third-generation of bear-dogs to try to stand up against Akakabuto, he ventures out to find dogs to join him in his fight.  
","['Action', 'Adventure', 'Drama', 'Shounen']","Apr 7, 1986 to Aug 22, 1986",21,17542,3409,435,8.11,https://cdn.myanimelist.net/images/anime/3/47461.jpg,https://myanimelist.net/anime/589/Ginga_Nagareboshi_Gin
